Dataset,Method,Mean,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
ecoli_5,Baseline,0.8802347139357135,0.006428075989349775,0.5,0.05,5
ecoli_5,Unbalanced,0.8421430079045809,0.020632918102094923,0.5,0.05,5
ecoli_5,SMOTE,0.8357493387798118,0.02196155348004078,0.5,0.05,5
ecoli_5,Proximity,0.8355832185086278,0.017818901380230217,0.5,0.05,5
ecoli_5,Hybrid,0.8531339671389262,0.020732629025738105,0.5,0.05,5
glass,Baseline,0.7736359306545584,0.008715898674307741,0.5,0.05,5
glass,Unbalanced,0.7430563064975664,0.019001185772270033,0.5,0.05,5
glass,SMOTE,0.7441326407509156,0.015216278883243383,0.5,0.05,5
glass,Proximity,0.7420287136113769,0.019057666408122037,0.5,0.05,5
glass,Hybrid,0.7452155295594763,0.02669379099973459,0.5,0.05,5
heart_disease,Baseline,0.49608133397082427,0.012622157770355849,0.5,0.05,5
heart_disease,Unbalanced,0.511971089934567,0.005443730372752821,0.5,0.05,5
heart_disease,SMOTE,0.507851063940322,0.009806261383380546,0.5,0.05,5
heart_disease,Proximity,0.5089568892066458,0.016290384752161456,0.5,0.05,5
heart_disease,Hybrid,0.515705121891058,0.015669229548751506,0.5,0.05,5
heart_failure,Baseline,0.8287917604845637,0.019896151270859176,0.5,0.05,5
heart_failure,Unbalanced,0.7449261149489037,0.010151900772692575,0.5,0.05,5
heart_failure,SMOTE,0.7715968259211102,0.007478557467044875,0.5,0.05,5
heart_failure,Proximity,0.7540497159923364,0.009330932156286944,0.5,0.05,5
heart_failure,Hybrid,0.7702807064529428,0.010178362911279385,0.5,0.05,5
hepatitis,Baseline,0.709692500376774,0.017416449194902404,0.5,0.05,5
hepatitis,Unbalanced,0.5768422474547761,0.04806616503911601,0.5,0.05,5
hepatitis,SMOTE,0.6713765464661915,0.018156311060210477,0.5,0.05,5
hepatitis,Proximity,0.6617962107163411,0.02661747917733359,0.5,0.05,5
hepatitis,Hybrid,0.6867613757242189,0.03248575498653267,0.5,0.05,5
hill_valley,Baseline,0.5748740496607817,0.008145190383812268,0.5,0.05,5
hill_valley,Unbalanced,0.40270325609633134,0.011021120953743831,0.5,0.05,5
