Dataset,categorical_indices,Encoding Method,Method,Imbalance Ratio,Archetype Setting,Minority Sample Setting,Use Archetypes,Seed,n_folds,classification_report,Weighted F1 Score
diabetes,[],ordinal,adasyn,0.15,None,None,False,8940,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.781250  0.903614  0.837989  166.000000           0.762539     1  8940
1             1   0.750000  0.533333  0.623377   90.000000           0.762539     1  8940
2      accuracy   0.773438  0.773438  0.773438    0.773438           0.762539     1  8940
3     macro avg   0.765625  0.718474  0.730683  256.000000           0.762539     1  8940
4  weighted avg   0.770264  0.773438  0.762539  256.000000           0.762539     1  8940
0             0   0.794444  0.856287  0.824207  167.000000           0.756795     2  8940
1             1   0.684211  0.584270  0.630303   89.000000           0.756795     2  8940
2      accuracy   0.761719  0.761719  0.761719    0.761719           0.756795     2  8940
3     macro avg   0.739327  0.720279  0.727255  256.000000           0.756795     2  8940
4  weighted avg   0.756121  0.761719  0.756795  256.000000           0.756795     2  8940
0             0   0.721925  0.808383  0.762712  167.000000           0.660377     3  8940
1             1   0.536232  0.415730  0.468354   89.000000           0.660377     3  8940
2      accuracy   0.671875  0.671875  0.671875    0.671875           0.660377     3  8940
3     macro avg   0.629079  0.612057  0.615533  256.000000           0.660377     3  8940
4  weighted avg   0.657368  0.671875  0.660377  256.000000           0.660377     3  8940",0.7625392240441122
diabetes,[],ordinal,adasyn,0.2,None,None,False,8940,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.781250  0.903614  0.837989  166.000000           0.762539     1  8940
1             1   0.750000  0.533333  0.623377   90.000000           0.762539     1  8940
2      accuracy   0.773438  0.773438  0.773438    0.773438           0.762539     1  8940
3     macro avg   0.765625  0.718474  0.730683  256.000000           0.762539     1  8940
4  weighted avg   0.770264  0.773438  0.762539  256.000000           0.762539     1  8940
0             0   0.794444  0.856287  0.824207  167.000000           0.756795     2  8940
1             1   0.684211  0.584270  0.630303   89.000000           0.756795     2  8940
2      accuracy   0.761719  0.761719  0.761719    0.761719           0.756795     2  8940
3     macro avg   0.739327  0.720279  0.727255  256.000000           0.756795     2  8940
4  weighted avg   0.756121  0.761719  0.756795  256.000000           0.756795     2  8940
0             0   0.721925  0.808383  0.762712  167.000000           0.660377     3  8940
1             1   0.536232  0.415730  0.468354   89.000000           0.660377     3  8940
2      accuracy   0.671875  0.671875  0.671875    0.671875           0.660377     3  8940
3     macro avg   0.629079  0.612057  0.615533  256.000000           0.660377     3  8940
4  weighted avg   0.657368  0.671875  0.660377  256.000000           0.660377     3  8940",0.7625392240441122
diabetes,[],ordinal,adasyn,0.25,None,None,False,8940,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.801105  0.873494  0.835735  166.000000           0.772035     1  8940
1             1   0.720000  0.600000  0.654545   90.000000           0.772035     1  8940
2      accuracy   0.777344  0.777344  0.777344    0.777344           0.772035     1  8940
3     macro avg   0.760552  0.736747  0.745140  256.000000           0.772035     1  8940
4  weighted avg   0.772592  0.777344  0.772035  256.000000           0.772035     1  8940
0             0   0.812121  0.802395  0.807229  167.000000           0.750636     2  8940
1             1   0.637363  0.651685  0.644444   89.000000           0.750636     2  8940
2      accuracy   0.750000  0.750000  0.750000    0.750000           0.750636     2  8940
3     macro avg   0.724742  0.727040  0.725837  256.000000           0.750636     2  8940
4  weighted avg   0.751365  0.750000  0.750636  256.000000           0.750636     2  8940
0             0   0.758824  0.772455  0.765579  167.000000           0.690135     3  8940
1             1   0.558140  0.539326  0.548571   89.000000           0.690135     3  8940
2      accuracy   0.691406  0.691406  0.691406    0.691406           0.690135     3  8940
3     macro avg   0.658482  0.655890  0.657075  256.000000           0.690135     3  8940
4  weighted avg   0.689054  0.691406  0.690135  256.000000           0.690135     3  8940",0.7720354663348179
diabetes,[],ordinal,adasyn,0.15,None,None,False,2162,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.767956  0.832335  0.798851  167.000000           0.720392     1  2162
1             1   0.626667  0.528090  0.573171   89.000000           0.720392     1  2162
2      accuracy   0.726562  0.726562  0.726562    0.726562           0.720392     1  2162
3     macro avg   0.697311  0.680213  0.686011  256.000000           0.720392     1  2162
4  weighted avg   0.718836  0.726562  0.720392  256.000000           0.720392     1  2162
0             0   0.725962  0.904192  0.805333  167.000000           0.687763     2  2162
1             1   0.666667  0.359551  0.467153   89.000000           0.687763     2  2162
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.687763     2  2162
3     macro avg   0.696314  0.631871  0.636243  256.000000           0.687763     2  2162
4  weighted avg   0.705347  0.714844  0.687763  256.000000           0.687763     2  2162
0             0   0.730000  0.879518  0.797814  166.000000           0.690706     3  2162
1             1   0.642857  0.400000  0.493151   90.000000           0.690706     3  2162
2      accuracy   0.710938  0.710938  0.710938    0.710938           0.690706     3  2162
3     macro avg   0.686429  0.639759  0.645482  256.000000           0.690706     3  2162
4  weighted avg   0.699364  0.710938  0.690706  256.000000           0.690706     3  2162",0.720391566792823
diabetes,[],ordinal,adasyn,0.2,None,None,False,2162,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.767956  0.832335  0.798851  167.000000           0.720392     1  2162
1             1   0.626667  0.528090  0.573171   89.000000           0.720392     1  2162
2      accuracy   0.726562  0.726562  0.726562    0.726562           0.720392     1  2162
3     macro avg   0.697311  0.680213  0.686011  256.000000           0.720392     1  2162
4  weighted avg   0.718836  0.726562  0.720392  256.000000           0.720392     1  2162
0             0   0.725962  0.904192  0.805333  167.000000           0.687763     2  2162
1             1   0.666667  0.359551  0.467153   89.000000           0.687763     2  2162
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.687763     2  2162
3     macro avg   0.696314  0.631871  0.636243  256.000000           0.687763     2  2162
4  weighted avg   0.705347  0.714844  0.687763  256.000000           0.687763     2  2162
0             0   0.730000  0.879518  0.797814  166.000000           0.690706     3  2162
1             1   0.642857  0.400000  0.493151   90.000000           0.690706     3  2162
2      accuracy   0.710938  0.710938  0.710938    0.710938           0.690706     3  2162
3     macro avg   0.686429  0.639759  0.645482  256.000000           0.690706     3  2162
4  weighted avg   0.699364  0.710938  0.690706  256.000000           0.690706     3  2162",0.720391566792823
diabetes,[],ordinal,adasyn,0.25,None,None,False,2162,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.784091  0.826347  0.804665  167.000000           0.734746     1  2162
1             1   0.637500  0.573034  0.603550   89.000000           0.734746     1  2162
2      accuracy   0.738281  0.738281  0.738281    0.738281           0.734746     1  2162
3     macro avg   0.710795  0.699691  0.704108  256.000000           0.734746     1  2162
4  weighted avg   0.733128  0.738281  0.734746  256.000000           0.734746     1  2162
0             0   0.809249  0.838323  0.823529  167.000000           0.763605     2  2162
1             1   0.674699  0.629213  0.651163   89.000000           0.763605     2  2162
2      accuracy   0.765625  0.765625  0.765625    0.765625           0.763605     2  2162
3     macro avg   0.741974  0.733768  0.737346  256.000000           0.763605     2  2162
4  weighted avg   0.762471  0.765625  0.763605  256.000000           0.763605     2  2162
0             0   0.744681  0.843373  0.790960  166.000000           0.699795     3  2162
1             1   0.617647  0.466667  0.531646   90.000000           0.699795     3  2162
2      accuracy   0.710938  0.710938  0.710938    0.710938           0.699795     3  2162
3     macro avg   0.681164  0.655020  0.661303  256.000000           0.699795     3  2162
4  weighted avg   0.700021  0.710938  0.699795  256.000000           0.699795     3  2162",0.7347460354598305
diabetes,[],ordinal,adasyn,0.15,None,None,False,1582,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.755556  0.814371  0.783862  167.000000           0.700978     1  1582
1             1   0.592105  0.505618  0.545455   89.000000           0.700978     1  1582
2      accuracy   0.707031  0.707031  0.707031    0.707031           0.700978     1  1582
3     macro avg   0.673830  0.659995  0.664658  256.000000           0.700978     1  1582
4  weighted avg   0.698731  0.707031  0.700978  256.000000           0.700978     1  1582
0             0   0.717277  0.820359  0.765363  167.000000           0.657305     2  1582
1             1   0.538462  0.393258  0.454545   89.000000           0.657305     2  1582
2      accuracy   0.671875  0.671875  0.671875    0.671875           0.657305     2  1582
3     macro avg   0.627870  0.606809  0.609954  256.000000           0.657305     2  1582
4  weighted avg   0.655111  0.671875  0.657305  256.000000           0.657305     2  1582
0             0   0.779570  0.873494  0.823864  166.000000           0.749556     3  1582
1             1   0.700000  0.544444  0.612500   90.000000           0.749556     3  1582
2      accuracy   0.757812  0.757812  0.757812    0.757812           0.749556     3  1582
3     macro avg   0.739785  0.708969  0.718182  256.000000           0.749556     3  1582
4  weighted avg   0.751596  0.757812  0.749556  256.000000           0.749556     3  1582",0.7009779440660203
diabetes,[],ordinal,adasyn,0.2,None,None,False,1582,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.755556  0.814371  0.783862  167.000000           0.700978     1  1582
1             1   0.592105  0.505618  0.545455   89.000000           0.700978     1  1582
2      accuracy   0.707031  0.707031  0.707031    0.707031           0.700978     1  1582
3     macro avg   0.673830  0.659995  0.664658  256.000000           0.700978     1  1582
4  weighted avg   0.698731  0.707031  0.700978  256.000000           0.700978     1  1582
0             0   0.717277  0.820359  0.765363  167.000000           0.657305     2  1582
1             1   0.538462  0.393258  0.454545   89.000000           0.657305     2  1582
2      accuracy   0.671875  0.671875  0.671875    0.671875           0.657305     2  1582
3     macro avg   0.627870  0.606809  0.609954  256.000000           0.657305     2  1582
4  weighted avg   0.655111  0.671875  0.657305  256.000000           0.657305     2  1582
0             0   0.779570  0.873494  0.823864  166.000000           0.749556     3  1582
1             1   0.700000  0.544444  0.612500   90.000000           0.749556     3  1582
2      accuracy   0.757812  0.757812  0.757812    0.757812           0.749556     3  1582
3     macro avg   0.739785  0.708969  0.718182  256.000000           0.749556     3  1582
4  weighted avg   0.751596  0.757812  0.749556  256.000000           0.749556     3  1582",0.7009779440660203
diabetes,[],ordinal,adasyn,0.25,None,None,False,1582,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.764706  0.778443  0.771513  167.000000           0.697979     1  1582
1             1   0.569767  0.550562  0.560000   89.000000           0.697979     1  1582
2      accuracy   0.699219  0.699219  0.699219    0.699219           0.697979     1  1582
3     macro avg   0.667237  0.664502  0.665757  256.000000           0.697979     1  1582
4  weighted avg   0.696934  0.699219  0.697979  256.000000           0.697979     1  1582
0             0   0.755952  0.760479  0.758209  167.000000           0.683172     2  1582
1             1   0.545455  0.539326  0.542373   89.000000           0.683172     2  1582
2      accuracy   0.683594  0.683594  0.683594    0.683594           0.683172     2  1582
3     macro avg   0.650703  0.649902  0.650291  256.000000           0.683172     2  1582
4  weighted avg   0.682771  0.683594  0.683172  256.000000           0.683172     2  1582
0             0   0.808642  0.789157  0.798780  166.000000           0.743418     3  1582
1             1   0.627660  0.655556  0.641304   90.000000           0.743418     3  1582
2      accuracy   0.742188  0.742188  0.742188    0.742188           0.743418     3  1582
3     macro avg   0.718151  0.722356  0.720042  256.000000           0.743418     3  1582
4  weighted avg   0.745015  0.742188  0.743418  256.000000           0.743418     3  1582",0.6979794139465876
diabetes,[],ordinal,adasyn,0.15,None,None,False,5081,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.758242  0.826347  0.790831  167.000000           0.707851     1  5081
1             1   0.608108  0.505618  0.552147   89.000000           0.707851     1  5081
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.707851     1  5081
3     macro avg   0.683175  0.665983  0.671489  256.000000           0.707851     1  5081
4  weighted avg   0.706047  0.714844  0.707851  256.000000           0.707851     1  5081
0             0   0.743842  0.904192  0.816216  167.000000           0.713627     2  5081
1             1   0.698113  0.415730  0.521127   89.000000           0.713627     2  5081
2      accuracy   0.734375  0.734375  0.734375    0.734375           0.713627     2  5081
3     macro avg   0.720978  0.659961  0.668671  256.000000           0.713627     2  5081
4  weighted avg   0.727944  0.734375  0.713627  256.000000           0.713627     2  5081
0             0   0.728205  0.855422  0.786704  166.000000           0.682417     3  5081
1             1   0.606557  0.411111  0.490066   90.000000           0.682417     3  5081
2      accuracy   0.699219  0.699219  0.699219    0.699219           0.682417     3  5081
3     macro avg   0.667381  0.633266  0.638385  256.000000           0.682417     3  5081
4  weighted avg   0.685438  0.699219  0.682417  256.000000           0.682417     3  5081",0.7078510632921405
