Dataset,Method,Mean_Weighted_F1,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
artificial_tree,Baseline,0.8541049285408848,,,,1
balance_scale,Baseline,0.8062821690535591,,,,1
breast_cancer,Baseline,0.9665756524416805,,,,1
car,Baseline,0.9517586246572097,,,,1
crx,Baseline,0.8728750313235161,,,,1
diabetes,Baseline,0.7607492347622797,,,,1
ecoli_5,Baseline,0.8713233749718083,,,,1
flare1,Baseline,0.839435990922663,,,,1
glass,Baseline,0.7760531075946457,,,,1
heart_failure,Baseline,0.8322728009305976,,,,1
hepatitis,Baseline,0.659438252442951,,,,1
ionosphere,Baseline,0.9349524314254041,,,,1
iris,Baseline,0.9498721666985016,,,,1
mnist_test,Baseline,0.948393675995306,,,,1
optdigits,Baseline,0.978295741960209,,,,1
parkinsons,Baseline,0.8966092024396518,,,,1
seeds,Baseline,0.9178119843315236,,,,1
sonar,Baseline,0.8324238311781176,,,,1
titanic,Baseline,0.7816686138429346,,,,1
treeData,Baseline,0.9359920931289125,,,,1
waveform,Baseline,0.8541049285408848,,,,1
wine,Baseline,0.9841995093499012,,,,1
artificial_tree,Unbalanced,0.6333184457474996,0.007029167535181766,,0.1,20
artificial_tree,SMOTE,0.754934959647381,0.006488497910063631,,0.1,20
artificial_tree,RFOversample,0.7548116808608702,0.00603042980877719,,0.1,20
balance_scale,Unbalanced,0.7643225181610669,0.005854489733766659,,0.1,20
balance_scale,SMOTE,0.738219028457553,0.004731732383306661,,0.1,20
balance_scale,RFOversample,0.749109809210248,0.005637457135685889,,0.1,20
breast_cancer,Unbalanced,0.9186318997103333,0.00397897419087765,,0.1,20
breast_cancer,SMOTE,0.944005571307992,0.0028876330085363215,,0.1,20
breast_cancer,RFOversample,0.9277751100040665,0.0031609869041326856,,0.1,20
car,Unbalanced,0.8680659523414171,0.0037078988816116655,,0.1,20
car,SMOTE,0.854272388934002,0.004065567566010133,,0.1,20
car,RFOversample,0.8623506267607384,0.004885084438533029,,0.1,20
crx,Unbalanced,0.7200631680172906,0.010506381713788598,,0.1,20
crx,SMOTE,0.7977956600758758,0.005370885726898124,,0.1,20
crx,RFOversample,0.7997515973269064,0.007891700608123338,,0.1,20
diabetes,Unbalanced,0.6006735782692254,0.011215318545605842,,0.1,20
