Dataset,categorical_indices,Encoding Method,Method,Imbalance Ratio,Archetype Proportion,Reintroduced Minority,Use Archetypes,Seed,n_folds,classification_report,Weighted F1 Score
artificial_tree,[],ordinal,smote,0.2,0.3,1.0,True,8940,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.787992  0.744681  0.765725   564.000000           0.799745     1  8940
1             1   0.843687  0.764065  0.801905   551.000000           0.799745     1  8940
2             2   0.777953  0.894928  0.832350   552.000000           0.799745     1  8940
3      accuracy   0.800840  0.800840  0.800840     0.800840           0.799745     1  8940
4     macro avg   0.803211  0.801225  0.799993  1667.000000           0.799745     1  8940
5  weighted avg   0.803077  0.800840  0.799745  1667.000000           0.799745     1  8940
0             0   0.811133  0.723404  0.764761   564.000000           0.794927     2  8940
1             1   0.826087  0.758621  0.790918   551.000000           0.794927     2  8940
2             2   0.762918  0.909420  0.829752   552.000000           0.794927     2  8940
3      accuracy   0.796641  0.796641  0.796641     0.796641           0.794927     2  8940
4     macro avg   0.800046  0.797148  0.795144  1667.000000           0.794927     2  8940
5  weighted avg   0.800110  0.796641  0.794927  1667.000000           0.794927     2  8940
0             0   0.884793  0.680851  0.769539   564.000000           0.801389     3  8940
1             1   0.796791  0.811252  0.803957   551.000000           0.801389     3  8940
2             2   0.757079  0.921960  0.831424   551.000000           0.801389     3  8940
3      accuracy   0.803721  0.803721  0.803721     0.803721           0.801389     3  8940
4     macro avg   0.812888  0.804688  0.801640  1666.000000           0.801389     3  8940
5  weighted avg   0.813449  0.803721  0.801389  1666.000000           0.801389     3  8940",0.7997454783973038
artificial_tree,[],ordinal,smote,0.2,nan,nan,False,8940,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.806950  0.741135  0.772643   564.000000           0.805807     1  8940
1             1   0.849174  0.745917  0.794203   551.000000           0.805807     1  8940
2             2   0.778947  0.938406  0.851274   552.000000           0.805807     1  8940
3      accuracy   0.808038  0.808038  0.808038     0.808038           0.805807     1  8940
4     macro avg   0.811690  0.808486  0.806040  1667.000000           0.805807     1  8940
5  weighted avg   0.811634  0.808038  0.805807  1667.000000           0.805807     1  8940
0             0   0.771379  0.783688  0.777485   564.000000           0.799816     2  8940
1             1   0.863931  0.725953  0.788955   551.000000           0.799816     2  8940
2             2   0.781300  0.893116  0.833474   552.000000           0.799816     2  8940
3      accuracy   0.800840  0.800840  0.800840     0.800840           0.799816     2  8940
4     macro avg   0.805536  0.800919  0.799971  1667.000000           0.799816     2  8940
5  weighted avg   0.805255  0.800840  0.799816  1667.000000           0.799816     2  8940
0             0   0.885246  0.670213  0.762866   564.000000           0.794582     3  8940
1             1   0.782686  0.803993  0.793196   551.000000           0.794582     3  8940
2             2   0.753343  0.920145  0.828431   551.000000           0.794582     3  8940
3      accuracy   0.797119  0.797119  0.797119     0.797119           0.794582     3  8940
4     macro avg   0.807092  0.798117  0.794831  1666.000000           0.794582     3  8940
5  weighted avg   0.807701  0.797119  0.794582  1666.000000           0.794582     3  8940",0.8058066179896761
artificial_tree,[],ordinal,smote,0.2,0.3,1.0,True,2162,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.793358  0.762411  0.777577   564.000000           0.813525     1  2162
1             1   0.908072  0.735027  0.812437   551.000000           0.813525     1  2162
2             2   0.771723  0.949275  0.851340   552.000000           0.813525     1  2162
3      accuracy   0.815237  0.815237  0.815237     0.815237           0.813525     1  2162
4     macro avg   0.824384  0.815571  0.813785  1667.000000           0.813525     1  2162
5  weighted avg   0.824111  0.815237  0.813525  1667.000000           0.813525     1  2162
0             0   0.790657  0.810284  0.800350   564.000000           0.796802     2  2162
1             1   0.908416  0.666062  0.768586   551.000000           0.796802     2  2162
2             2   0.741606  0.920290  0.821342   552.000000           0.796802     2  2162
3      accuracy   0.799040  0.799040  0.799040     0.799040           0.796802     2  2162
4     macro avg   0.813560  0.798878  0.796760  1667.000000           0.796802     2  2162
5  weighted avg   0.813338  0.799040  0.796802  1667.000000           0.796802     2  2162
0             0   0.785064  0.764184  0.774483   564.000000           0.801886     3  2162
1             1   0.810247  0.774955  0.792208   551.000000           0.801886     3  2162
2             2   0.811864  0.869328  0.839614   551.000000           0.801886     3  2162
3      accuracy   0.802521  0.802521  0.802521     0.802521           0.801886     3  2162
4     macro avg   0.802392  0.802823  0.802102  1666.000000           0.801886     3  2162
5  weighted avg   0.802256  0.802521  0.801886  1666.000000           0.801886     3  2162",0.8135250093201813
artificial_tree,[],ordinal,smote,0.2,nan,nan,False,2162,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.782288  0.751773  0.766727   564.000000           0.798429     1  2162
1             1   0.901869  0.700544  0.788560   551.000000           0.798429     1  2162
2             2   0.753228  0.951087  0.840673   552.000000           0.798429     1  2162
3      accuracy   0.800840  0.800840  0.800840     0.800840           0.798429     1  2162
4     macro avg   0.812462  0.801135  0.798653  1667.000000           0.798429     1  2162
5  weighted avg   0.812191  0.800840  0.798429  1667.000000           0.798429     1  2162
0             0   0.761745  0.804965  0.782759   564.000000           0.787668     2  2162
1             1   0.887805  0.660617  0.757544   551.000000           0.787668     2  2162
2             2   0.754917  0.903986  0.822754   552.000000           0.787668     2  2162
3      accuracy   0.790042  0.790042  0.790042     0.790042           0.787668     2  2162
4     macro avg   0.801489  0.789856  0.787685  1667.000000           0.787668     2  2162
5  weighted avg   0.801151  0.790042  0.787668  1667.000000           0.787668     2  2162
0             0   0.777372  0.755319  0.766187   564.000000           0.798071     3  2162
1             1   0.806883  0.765880  0.785847   551.000000           0.798071     3  2162
2             2   0.811765  0.876588  0.842932   551.000000           0.798071     3  2162
3      accuracy   0.798920  0.798920  0.798920     0.798920           0.798071     3  2162
4     macro avg   0.798673  0.799262  0.798322  1666.000000           0.798071     3  2162
5  weighted avg   0.798507  0.798920  0.798071  1666.000000           0.798071     3  2162",0.7984293115174258
artificial_tree,[],ordinal,smote,0.2,0.3,1.0,True,1582,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.777193  0.785461  0.781305   564.000000           0.795885     1  1582
1             1   0.836777  0.735027  0.782609   551.000000           0.795885     1  1582
2             2   0.783034  0.869565  0.824034   552.000000           0.795885     1  1582
3      accuracy   0.796641  0.796641  0.796641     0.796641           0.795885     1  1582
4     macro avg   0.799001  0.796684  0.795983  1667.000000           0.795885     1  1582
5  weighted avg   0.798822  0.796641  0.795885  1667.000000           0.795885     1  1582
0             0   0.755034  0.797872  0.775862   564.000000           0.803188     2  1582
1             1   0.868251  0.729583  0.792899   551.000000           0.803188     2  1582
2             2   0.802632  0.884058  0.841379   552.000000           0.803188     2  1582
3      accuracy   0.803839  0.803839  0.803839     0.803839           0.803188     2  1582
4     macro avg   0.808639  0.803838  0.803380  1667.000000           0.803188     2  1582
5  weighted avg   0.808217  0.803839  0.803188  1667.000000           0.803188     2  1582
0             0   0.768362  0.723404  0.745205   564.000000           0.783723     3  1582
1             1   0.891705  0.702359  0.785787   551.000000           0.783723     3  1582
2             2   0.733238  0.932849  0.821086   551.000000           0.783723     3  1582
3      accuracy   0.785714  0.785714  0.785714     0.785714           0.783723     3  1582
4     macro avg   0.797768  0.786204  0.784026  1666.000000           0.783723     3  1582
5  weighted avg   0.797539  0.785714  0.783723  1666.000000           0.783723     3  1582",0.7958850802340325
artificial_tree,[],ordinal,smote,0.2,nan,nan,False,1582,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.716617  0.856383  0.780291   564.000000           0.778178     1  1582
1             1   0.865385  0.653358  0.744571   551.000000           0.778178     1  1582
2             2   0.792028  0.827899  0.809566   552.000000           0.778178     1  1582
3      accuracy   0.779844  0.779844  0.779844     0.779844           0.778178     1  1582
4     macro avg   0.791343  0.779213  0.778143  1667.000000           0.778178     1  1582
5  weighted avg   0.790761  0.779844  0.778178  1667.000000           0.778178     1  1582
0             0   0.766387  0.808511  0.786885   564.000000           0.807766     2  1582
1             1   0.875000  0.711434  0.784785   551.000000           0.807766     2  1582
2             2   0.802885  0.907609  0.852041   552.000000           0.807766     2  1582
3      accuracy   0.809238  0.809238  0.809238     0.809238           0.807766     2  1582
4     macro avg   0.814757  0.809184  0.807904  1667.000000           0.807766     2  1582
5  weighted avg   0.814373  0.809238  0.807766  1667.000000           0.807766     2  1582
0             0   0.779541  0.783688  0.781609   564.000000           0.805429     3  1582
1             1   0.928230  0.704174  0.800826   551.000000           0.805429     3  1582
2             2   0.754772  0.932849  0.834416   551.000000           0.805429     3  1582
3      accuracy   0.806723  0.806723  0.806723     0.806723           0.805429     3  1582
4     macro avg   0.820848  0.806904  0.805617  1666.000000           0.805429     3  1582
5  weighted avg   0.820526  0.806723  0.805429  1666.000000           0.805429     3  1582",0.7781781422662796
artificial_tree,[],ordinal,smote,0.2,0.3,1.0,True,5081,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.861233  0.693262  0.768173   564.000000           0.811880     1  5081
1             1   0.786992  0.878403  0.830189   551.000000           0.811880     1  5081
2             2   0.806020  0.873188  0.838261   552.000000           0.811880     1  5081
3      accuracy   0.814037  0.814037  0.814037     0.814037           0.811880     1  5081
4     macro avg   0.818082  0.814951  0.812207  1667.000000           0.811880     1  5081
5  weighted avg   0.818411  0.814037  0.811880  1667.000000           0.811880     1  5081
0             0   0.788603  0.760638  0.774368   564.000000           0.803652     2  5081
1             1   0.834971  0.771325  0.801887   551.000000           0.803652     2  5081
2             2   0.793160  0.882246  0.835334   552.000000           0.803652     2  5081
3      accuracy   0.804439  0.804439  0.804439     0.804439           0.803652     2  5081
4     macro avg   0.805578  0.804737  0.803863  1667.000000           0.803652     2  5081
5  weighted avg   0.805438  0.804439  0.803652  1667.000000           0.803652     2  5081
0             0   0.740984  0.801418  0.770017   564.000000           0.790227     3  5081
1             1   0.866972  0.686025  0.765957   551.000000           0.790227     3  5081
2             2   0.788710  0.887477  0.835184   551.000000           0.790227     3  5081
3      accuracy   0.791717  0.791717  0.791717     0.791717           0.790227     3  5081
4     macro avg   0.798889  0.791640  0.790386  1666.000000           0.790227     3  5081
5  weighted avg   0.798437  0.791717  0.790227  1666.000000           0.790227     3  5081",0.8118797067216649
artificial_tree,[],ordinal,smote,0.2,nan,nan,False,5081,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.818182  0.718085  0.764873   564.000000           0.810523     1  5081
1             1   0.818841  0.820327  0.819583   551.000000           0.810523     1  5081
2             2   0.801613  0.900362  0.848123   552.000000           0.810523     1  5081
3      accuracy   0.812238  0.812238  0.812238     0.812238           0.810523     1  5081
4     macro avg   0.812878  0.812925  0.810859  1667.000000           0.810523     1  5081
5  weighted avg   0.812913  0.812238  0.810523  1667.000000           0.810523     1  5081
0             0   0.778182  0.758865  0.768402   564.000000           0.800899     2  5081
1             1   0.808630  0.782214  0.795203   551.000000           0.800899     2  5081
2             2   0.816781  0.864130  0.839789   552.000000           0.800899     2  5081
3      accuracy   0.801440  0.801440  0.801440     0.801440           0.800899     2  5081
4     macro avg   0.801198  0.801737  0.801131  1667.000000           0.800899     2  5081
5  weighted avg   0.801028  0.801440  0.800899  1667.000000           0.800899     2  5081
0             0   0.772727  0.783688  0.778169   564.000000           0.805276     3  5081
1             1   0.866242  0.740472  0.798434   551.000000           0.805276     3  5081
2             2   0.791332  0.894737  0.839864   551.000000           0.805276     3  5081
3      accuracy   0.806122  0.806122  0.806122     0.806122           0.805276     3  5081
4     macro avg   0.810101  0.806299  0.805489  1666.000000           0.805276     3  5081
5  weighted avg   0.809809  0.806122  0.805276  1666.000000           0.805276     3  5081",0.8105231751834506
artificial_tree,[],ordinal,smote,0.2,0.3,1.0,True,9412,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.776068  0.804965  0.790252   564.000000           0.809439     1  9412
1             1   0.907363  0.693285  0.786008   551.000000           0.809439     1  9412
2             2   0.782148  0.936594  0.852432   552.000000           0.809439     1  9412
3      accuracy   0.811638  0.811638  0.811638     0.811638           0.809439     1  9412
4     macro avg   0.821860  0.811615  0.809564  1667.000000           0.809439     1  9412
5  weighted avg   0.821479  0.811638  0.809439  1667.000000           0.809439     1  9412
0             0   0.722222  0.806738  0.762144   564.000000           0.778329     2  9412
1             1   0.905512  0.626134  0.740343   551.000000           0.778329     2  9412
2             2   0.766768  0.911232  0.832781   552.000000           0.778329     2  9412
3      accuracy   0.781644  0.781644  0.781644     0.781644           0.778329     2  9412
4     macro avg   0.798167  0.781368  0.778423  1667.000000           0.778329     2  9412
5  weighted avg   0.797556  0.781644  0.778329  1667.000000           0.778329     2  9412
0             0   0.730233  0.835106  0.779156   564.000000           0.781997     3  9412
1             1   0.844789  0.691470  0.760479   551.000000           0.781997     3  9412
2             2   0.792982  0.820327  0.806423   551.000000           0.781997     3  9412
3      accuracy   0.782713  0.782713  0.782713     0.782713           0.781997     3  9412
4     macro avg   0.789335  0.782301  0.782019  1666.000000           0.781997     3  9412
5  weighted avg   0.788874  0.782713  0.781997  1666.000000           0.781997     3  9412",0.8094393170772372
artificial_tree,[],ordinal,smote,0.2,nan,nan,False,9412,3,"          class  precision    recall  f1-score      support  Weighted F1 Score  fold  seed
0             0   0.771529  0.778369  0.774934   564.000000           0.793653     1  9412
1             1   0.916244  0.655172  0.764021   551.000000           0.793653     1  9412
2             2   0.751420  0.958333  0.842357   552.000000           0.793653     1  9412
3      accuracy   0.797241  0.797241  0.797241     0.797241           0.793653     1  9412
4     macro avg   0.813064  0.797292  0.793771  1667.000000           0.793653     1  9412
5  weighted avg   0.812703  0.797241  0.793653  1667.000000           0.793653     1  9412
0             0   0.735294  0.797872  0.765306   564.000000           0.784069     2  9412
1             1   0.935135  0.627949  0.751357   551.000000           0.784069     2  9412
2             2   0.754745  0.936594  0.835893   552.000000           0.784069     2  9412
3      accuracy   0.787642  0.787642  0.787642     0.787642           0.784069     2  9412
4     macro avg   0.808391  0.787472  0.784186  1667.000000           0.784069     2  9412
5  weighted avg   0.807789  0.787642  0.784069  1667.000000           0.784069     2  9412
0             0   0.720379  0.808511  0.761905   564.000000           0.765419     3  9412
1             1   0.807203  0.691470  0.744868   551.000000           0.765419     3  9412
2             2   0.782531  0.796733  0.789568   551.000000           0.765419     3  9412
3      accuracy   0.765906  0.765906  0.765906     0.765906           0.765419     3  9412
4     macro avg   0.770038  0.765571  0.765447  1666.000000           0.765419     3  9412
5  weighted avg   0.769650  0.765906  0.765419  1666.000000           0.765419     3  9412",0.7936528005910357
