Dataset,p_value,estimate,conf_low,conf_high
artificial_tree,4.825921338935735e-56,-0.331146934766114,0.32102269368534697,0.34127117584688105
balance_scale,7.462404232747885e-46,-0.389336907660935,0.3714742331091306,0.4071995822127395
breast_cancer,0.11423984492728761,-0.009565247910867436,-0.00238228858791625,0.021512784409651122
car,7.650831302782826e-15,-0.6035405559254382,0.5155767898526912,0.6915043219981852
chess,3.697216218003945e-11,-0.15570006243419277,0.11797390410012017,0.19342622076826535
crx,0.0011217268235909695,-0.044582913551010406,0.018567322103543123,0.0705985049984777
diabetes,0.0016915995825177855,-0.032218600646000795,0.012670835154508505,0.05176636613749309
ecoli_5,1.8285031606636153e-16,-0.6639117240135304,0.6023315745657628,0.725491873461298
flare1,2.7369307649979397e-5,-0.33821557214753567,0.19771680631651128,0.47871433797856006
glass,9.66396966905551e-30,-0.531395388794763,0.4850318157637786,0.5777589618257475
heart_disease,3.670739838354192e-7,-0.3244147788211538,0.2309774695546079,0.41785208808769975
heart_failure,1.0059177060856374e-7,-0.06835287632212095,0.04642488739706188,0.09028086524718001
hepatitis,0.12040746139558967,-0.03155814652061262,-0.008521322643387006,0.07163761568461224
hill_valley,0.20929098339811097,0.013658953827907161,-0.03519694056280735,0.007879032906993034
ionosphere,0.05943285909250157,-0.02240395335985923,-9.233933841431016e-4,0.04573130010386156
iris,7.329487346765977e-45,-0.4027135881155427,0.3833674135724352,0.42205976265865014
lymphography,6.175747209912037e-19,-0.5962376519984772,0.5279775953234968,0.6644977086734577
mnist_test,1.2605975228850447e-43,-0.6274889581698447,0.6113768795855281,0.6436010367541612
optdigits,2.264727049384011e-44,-0.786765348393142,0.7747746168446186,0.7987560799416656
parkinsons,0.8863123597317659,0.002094125056368412,-0.03128488684133865,0.027096636728601832
seeds,1.7546800405280057e-40,-0.38621508544544014,0.36749724466945743,0.40493292622142285
segmentation,2.511394169485406e-39,-0.6537366626598655,0.6307236398283861,0.676749685491345
sonar,0.008328725066572546,-0.052983098649333926,0.014219870672311972,0.09174632662635589
tic-tac-toe,5.245220025521541e-12,-0.09882876619459147,0.07672858142443448,0.12092895096474846
titanic,0.021763103391675913,-0.03125179917815213,0.004733072757208336,0.05777052559909592
treeData,1.3314763937654108e-54,-0.8315020506403383,0.822388902455066,0.8406151988256106
waveform,4.825921338935735e-56,-0.331146934766114,0.32102269368534697,0.34127117584688105
wine,1.7804301480939177e-41,-0.4605141781376989,0.44083429579403804,0.48019406048135976
