Dataset,p_value,estimate,conf_low,conf_high
artificial_tree,0.9182543471325897,-4.942600494788341e-4,-0.010096224614878897,0.009107704515921229
diabetes,0.17312932191491276,-0.013900572625452523,-0.03407829084011507,0.006277145589210021
ecoli_5,0.721764568674955,0.004373207825890679,-0.02023466963219785,0.028981085283979212
flare1,0.8246127479399363,0.003689377380264758,-0.02952128196221969,0.036900036722749205
heart_failure,2.9130744265344244e-5,-0.04664084848756478,-0.06720463844903761,-0.02607705852609195
hepatitis,0.3059725409033792,-0.018021243202558157,-0.05296004363506279,0.016917557229946468
hill_valley,0.1526559889303324,0.020474832328251036,-0.007835173497512669,0.04878483815401474
ionosphere,0.6384274562512715,-0.005090423597562066,-0.026676308047836862,0.01649546085271273
iris,0.9983099535459008,2.2446689113331253e-5,-0.021099030769753415,0.021143924147980078
parkinsons,0.09481671292165263,-0.019617442397364404,-0.04274024870105192,0.003505363906323113
seeds,0.886315545514577,0.0013746589769827455,-0.017789764382646244,0.02053908233661173
sonar,0.9487489171129184,0.0011634317180581055,-0.03492395826353806,0.03725082169965427
titanic,4.051012544665186e-22,-0.1634072691129712,-0.18467908554481144,-0.14213545268113095
waveform,0.9989339009582705,-6.8357408896657645e-6,-0.010203621117867427,0.010189949636088096
wine,0.8776776805909492,-0.0010120574431109475,-0.014121425197256666,0.012097310311034771
